"No.","Time","Source","Destination","Protocol","Length","Info"
"154","0.600729","127.0.0.1","127.0.0.1","RTP","351","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33341, Time=535154220, Mark"
"155","0.605176","127.0.0.1","127.0.0.1","RTP","419","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62834, Time=2319283554, Mark"
"156","0.616300","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62835, Time=2319292554"
"157","0.622661","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62836, Time=2319292554"
"158","0.623743","127.0.0.1","127.0.0.1","RTP","343","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33342, Time=535155244, Mark"
"159","0.624636","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62837, Time=2319292554"
"160","0.628803","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62838, Time=2319292554"
"161","0.632970","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62839, Time=2319292554"
"162","0.637142","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62840, Time=2319292554"
"163","0.641307","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62841, Time=2319292554"
"164","0.645474","127.0.0.1","127.0.0.1","RTP","518","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62842, Time=2319292554, Mark"
"165","0.646958","127.0.0.1","127.0.0.1","RTP","338","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33343, Time=535156268, Mark"
"166","0.649633","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62843, Time=2319289554"
"167","0.660759","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62844, Time=2319289554"
"168","0.670183","127.0.0.1","127.0.0.1","RTP","342","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33344, Time=535157292, Mark"
"169","0.671845","127.0.0.1","127.0.0.1","RTP","477","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62845, Time=2319289554, Mark"
"170","0.683050","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62846, Time=2319298554"
"171","0.687149","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62847, Time=2319298554"
"172","0.691315","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62848, Time=2319298554"
"173","0.693401","127.0.0.1","127.0.0.1","RTP","412","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33345, Time=535158316, Mark"
"174","0.695470","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62849, Time=2319298554"
"175","0.700372","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62850, Time=2319298554"
"176","0.703813","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62851, Time=2319298554"
"177","0.707989","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62852, Time=2319298554"
"178","0.712143","127.0.0.1","127.0.0.1","RTP","307","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62853, Time=2319298554, Mark"
